SP500,GOLD,IYR,port_er,port_std,sharpe
0.0,0.27,0.73,0.04035680077935441,0.15447155215361238,0.26125717141252053
0.0,0.28,0.72,0.040174604065694515,0.15307764581575067,0.26244592312355
0.0,0.29,0.71,0.03999240735203462,0.1517112544972551,0.26360870513240797
0.0,0.3,0.7,0.039810210638374734,0.15037312825987784,0.2647428506612826
0.0,0.31,0.69,0.039628013924714836,0.14906402830020632,0.2658455857969054
0.0,0.32,0.68,0.039445817211054945,0.14778472597802533,0.26691403289484933
0.0,0.33,0.67,0.039263620497395055,0.1465360017217872,0.26794521507377306
0.0,0.34,0.66,0.039081423783735164,0.14531864380631787,0.2689360618849655
0.0,0.35,0.65,0.038899227070075273,0.1441334469986048,0.26988341623753587
0.0,0.36,0.64,0.03871703035641538,0.1429812110683919,0.27078404265226114
0.0,0.37,0.63,0.038534833642755485,0.1418627391613482,0.271634636907213
0.0,0.38,0.62,0.038352636929095595,0.14077883603379338,0.2724318371256401
0.0,0.39,0.61,0.0381704402154357,0.1397303061493494,0.2731722363410382
0.0,0.4,0.6,0.037988243501775806,0.13871795163944864,0.2738523965558089
0.0,0.41,0.59,0.037806046788115916,0.13774257013135116,0.2744688642883904
0.0,0.42,0.58,0.037623850074456025,0.13680495244920138,0.2750181875793318
0.0,0.43,0.57,0.037441653360796134,0.1359058801956655,0.2754969343996808
0.0,0.44,0.56,0.037259456647136244,0.13504612322381265,0.27590171237560035
0.0,0.45,0.55,0.03707725993347635,0.13422643701110473,0.2762291897117771
0.0,0.46,0.54,0.036895063219816455,0.13344755994960425,0.2764761171635486
0.0,0.47,0.53,0.036712866506156565,0.13271021056875254,0.2766393508744898
0.0,0.48,0.52,0.036530669792496674,0.13201508470926474,0.2767158758633359
0.0,0.49,0.51,0.03634847307883678,0.13136285266877512,0.2767028299125601
0.0,0.51,0.49,0.035984079651516995,0.13018960637824775,0.27639748404315984
0.0,0.52,0.48,0.0358018829378571,0.1296697793862698,0.27610043841601545
0.0,0.53,0.47,0.03561968622419721,0.1291952152060476,0.2757043762602894
0.0,0.54,0.46,0.035437489510537316,0.12876641428215008,0.27520755088269744
0.0,0.55,0.45,0.035255292796877426,0.1283838351620636,0.2746085031061222
0.0,0.56,0.44,0.035073096083217535,0.12804789214840598,0.2739060791611332
0.0,0.57,0.43,0.03489089936955764,0.12775895313155933,0.2730994463740546
0.0,0.58,0.42,0.03470870265589775,0.12751733762820808,0.27218810635064455
0.0,0.59,0.41,0.034526505942237856,0.12732331504949565,0.27117190538760344
0.0,0.6,0.4,0.034344309228577966,0.12717710322024212,0.2700510418852783
0.0,0.61,0.39,0.034162112514918075,0.127078867167926,0.26882607058320085
0.0,0.62,0.38,0.033979915801258184,0.12702871819697667,0.2674979034942897
0.0,0.63,0.37,0.03379771908759828,0.1270267132604112,0.2660678074722066
0.0,0.64,0.36,0.03361552237393839,0.12707285463705775,0.2645373984077889
0.0,0.65,0.35,0.0334333256602785,0.1271670899186231,0.2629086321128618
0.0,0.66,0.34,0.03325112894661861,0.12730931230677434,0.26118379201117764
0.0,0.67,0.33,0.03306893223295872,0.12749936121631636,0.2593654738148352
0.0,0.68,0.32,0.032886735519298826,0.12773702317654775,0.25745656741855844
0.0,0.69,0.31,0.03270453880563893,0.12802203301906803,0.2554602362920436
0.0,0.7,0.3,0.03252234209197904,0.1283540753367694,0.2533798946909044
0.0,0.71,0.29,0.03234014537831915,0.12873278619555734,0.25121918303851043
0.0,0.72,0.28,0.03215794866465926,0.12915775507756921,0.2489819418535567
0.0,0.73,0.27,0.03197575195099936,0.12962852703234695,0.2466721846111872
0.0,0.74,0.26,0.03179355523733947,0.13014460501060632,0.24429406992897176
0.0,0.75,0.25,0.03161135852367958,0.1307054523539467,0.24185187346337247
0.0,0.76,0.24,0.03142916181001969,0.13131049541306747,0.23934995988821767
0.0,0.77,0.23,0.031246965096359797,0.1319591262667833,0.23679275530505897
0.0,0.78,0.22,0.0310647683826999,0.13265070551434235,0.2341847204072438
0.0,0.79,0.21,0.03088257166904001,0.13338456511420266,0.23153032468635806
0.0,0.8,0.2,0.030700374955380118,0.1341600112434754,0.22883402193269545
0.0,0.81,0.19,0.030518178241720227,0.13497632715363903,0.22610022724194007
0.0,0.82,0.18,0.03033598152806033,0.1358327759998124,0.2233332956995757
0.0,0.83,0.17,0.03015378481440044,0.1367286036227844,0.22053750287387286
0.0,0.84,0.16,0.029971588100740545,0.13766304126507614,0.2177170272086969
0.0,0.85,0.15,0.029789391387080654,0.13863530820449713,0.2148759343697577
0.0,0.86,0.14,0.029607194673420763,0.13964461429089922,0.21201816356300604
0.0,0.87,0.13,0.029424997959760873,0.14069016237407792,0.2091475158122528
0.0,0.88,0.12,0.029242801246100975,0.1417711506129758,0.20626764415513243
0.0,0.89,0.11,0.029060604532441085,0.14288677465847566,0.20338204569247928
0.0,0.9,0.1,0.028878407818781194,0.14403622970408944,0.20049405540612597
0.0,0.91,0.09,0.028696211105121303,0.14521871240073952,0.1976068416440192
0.0,0.92,0.08,0.028514014391461413,0.14643342263356565,0.1947234031592279
0.0,0.93,0.07,0.02833181767780152,0.14767956516026343,0.1918465675806638
0.0,0.94,0.06,0.02814962096414162,0.14895635111186362,0.18897899118783965
0.0,0.95,0.05,0.02796742425048173,0.15026299935809007,0.18612315985942005
0.0,0.96,0.04,0.02778522753682184,0.1515987377404912,0.1832813910653067
0.0,0.97,0.03,0.02760303082316195,0.15296280417743185,0.18045583677416985
0.0,0.98,0.02,0.02742083410950205,0.15435444764576356,0.17764848715232112
0.0,0.99,0.01,0.02723863739584216,0.1557729290445758,0.17486117493526482
0.01,0.0,0.99,0.04598950288579283,0.19874319360365314,0.23140164979691405
0.01,0.02,0.97,0.04562510945847305,0.1949452079979357,0.234040682133393
0.01,0.03,0.96,0.04544291274481315,0.19306572322265406,0.23537535294344233
0.01,0.04,0.95,0.04526071603115326,0.19119975605242487,0.23671952812922664
0.01,0.05,0.94,0.04507851931749337,0.18934770612399657,0.2380726983192137
