SP500,GOLD,IYR
1412.16,1720.55,64
1427.59,1714.7,64.07
1414.2,1677.85,64.5
1417.26,1684.6,64.02
1428.39,1715.95,64.16
1394.53,1716.69,63.84
1377.51,1730.99,63.19
1379.85,1731.24,62.98
1380.03,1728.35,62.88
1374.53,1725.5,62.68
1355.49,1726.45,61.46
1353.33,1715.8,61.19
1359.88,1713.7,61.89
1386.89,1731.94,62.47
1387.81,1728.65,62.86
1391.03,1729.11,62.82
1409.15,1753,63.33
1406.29,1749.1,63.42
1398.94,1742.05,63.08
1409.93,1719.69,62.97
1415.95,1725.4,63.38
1416.18,1714.8,63.63
1409.46,1715.25,63.81
1407.05,1697.35,63.73
1409.28,1693.99,63.56
1413.94,1699.14,64.12
1418.07,1703.65,64.38
1418.55,1710.25,64.38
1427.84,1710.1,64.46
1428.48,1711.95,64.42
1419.45,1697.3,63.99
1413.58,1695.47,63.91
1430.36,1697.93,64.31
1446.79,1670.15,64.97
1435.81,1666.94,64.09
1443.69,1647.75,64.82
1430.15,1656.99,64.62
1426.66,1657.48,64.71
1419.83,1660.14,64.39
1418.1,1663.9,64.47
1402.43,1655.4,64.08
1426.19,1674.95,64.67
1462.42,1686.75,65.72
1459.37,1663.35,65.72
1466.47,1656.85,66.12
1461.89,1647.25,66.22
1457.15,1659,66.09
1461.02,1657.9,66.34
1472.12,1675.25,66.5
1472.05,1663.05,66.49
1470.68,1667.2,66.59
1472.34,1678.9,66.9
1472.63,1679.5,66.83
1480.94,1687.64,66.98
1485.98,1683.95,67.38
1492.56,1692.1,67.72
1494.81,1685.75,67.73
1494.82,1667.74,67.81
1502.96,1658.69,68.09
1500.18,1654.95,68.16
1507.84,1663.85,68.29
1501.96,1677.1,67.66
1498.11,1663.6,67.27
1513.17,1667.15,67.72
1495.71,1674.4,67.58
1511.29,1673,67.49
1512.12,1677.49,67.61
1509.39,1671.3,67.29
1517.93,1667.5,67.96
1517.01,1649.74,68.03
1519.43,1650.8,68.43
1520.33,1642.74,68.4
1521.38,1634.85,68.13
1519.79,1609.44,68.21
1530.94,1604.6,68.68
1511.95,1562.9,68.1
1502.42,1576.05,67.57
1515.6,1580.7,68.15
1487.85,1594.24,67
1496.94,1613.49,67.59
1515.99,1597.6,68.11
1514.68,1580.14,68.12
1518.2,1575.24,68.25
1525.2,1573.95,68.76
1539.79,1575.44,69.29
1541.46,1583.69,69.03
1544.26,1578.9,68.78
1551.18,1578.35,68.82
1556.22,1581,69.09
1552.48,1592.7,68.84
1554.52,1587.8,68.86
1563.23,1590.3,69.23
1560.7,1592.45,69.26
1552.1,1605.3,69.07
1548.34,1613.4,68.58
1558.71,1606.5,68.98
1545.8,1614.7,68.75
1556.89,1608.45,69.17
1551.69,1605.4,68.54
1563.77,1599.2,69.05
1562.85,1605.4,69.16
1569.19,1596.74,69.48
1562.17,1598.9,69.7
1570.25,1575.85,69.88
1553.69,1557.85,69.51
1559.98,1553.32,70.53
1553.28,1582,70.72
1563.07,1573.7,71.38
1568.61,1585.2,71.41
1587.73,1558.75,71.83
1593.37,1561.35,72.18
1588.85,1478.85,72.6
1552.36,1353.25,70.79
1574.57,1368.9,71.91
